t,daily_cases_obs,ward_obs,icu_obs,daily_deaths_obs,NT,P_0_49,P_50_59,P_60_69,P_70p
0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
1,2.0,0.0,0.0,0.0,4.0,0.25,0.25,0.25,0.25
2,2.0,0.0,0.0,0.0,10.0,0.75,0.0,0.25,0.0
3,2.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0
4,3.0,9.0,0.0,0.0,22.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
5,4.0,13.0,0.0,0.0,30.0,0.5,0.25,0.0,0.25
6,8.0,21.0,0.0,0.0,38.0,0.875,0.0,0.125,0.0
7,9.0,30.0,0.0,0.0,46.0,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111
8,9.0,38.0,0.0,0.0,59.0,0.7777777777777778,0.1111111111111111,0.0,0.1111111111111111
9,2.0,40.0,0.0,0.0,83.0,0.0,0.0,1.0,0.0
10,18.0,57.0,0.0,0.0,135.0,0.7222222222222222,0.05555555555555555,0.0,0.2222222222222222
11,19.0,69.0,0.0,0.0,218.0,0.7368421052631579,0.21052631578947367,0.05263157894736842,0.0
12,34.0,107.0,0.0,0.0,361.0,0.7058823529411765,0.14705882352941177,0.11764705882352941,0.029411764705882353
13,57.0,104.0,10.0,0.0,475.0,0.6666666666666666,0.21052631578947367,0.017543859649122806,0.10526315789473684
14,76.0,130.0,9.0,0.0,559.0,0.5921052631578947,0.2236842105263158,0.07894736842105263,0.10526315789473684
15,86.0,121.0,18.0,0.0,706.0,0.45882352941176474,0.10588235294117647,0.22352941176470587,0.21176470588235294
16,117.0,189.0,17.0,1.0,900.0,0.5932203389830508,0.17796610169491525,0.1271186440677966,0.1016949152542373
17,194.0,69.0,20.0,0.0,1084.0,0.634020618556701,0.0979381443298969,0.12886597938144329,0.13917525773195877
18,143.0,69.0,20.0,2.0,1236.0,0.5384615384615384,0.20279720279720279,0.13286713286713286,0.1258741258741259
19,235.0,100.0,26.0,3.0,1397.0,0.4273504273504274,0.2264957264957265,0.15384615384615385,0.19230769230769232
20,260.0,121.0,35.0,6.0,1520.0,0.4942528735632184,0.1532567049808429,0.1839080459770115,0.1685823754789272
21,320.0,128.0,41.0,2.0,1633.0,0.528125,0.2125,0.103125,0.15625
22,460.0,154.0,47.0,9.0,1875.0,0.46304347826086956,0.17173913043478262,0.17608695652173914,0.1891304347826087
23,302.0,155.0,48.0,10.0,2140.0,0.423841059602649,0.2052980132450331,0.17880794701986755,0.19205298013245034
24,633.0,215.0,61.0,10.0,2417.0,0.45813586097946285,0.1769352290679305,0.12006319115323855,0.24486571879936808
25,549.0,130.0,61.0,17.0,2825.0,0.5318761384335154,0.18579234972677597,0.1092896174863388,0.17304189435336975
26,724.0,283.0,71.0,16.0,3282.0,0.3972222222222222,0.19166666666666665,0.17916666666666664,0.2319444444444444
27,902.0,329.0,89.0,24.0,3707.0,0.46578366445916114,0.17218543046357615,0.1357615894039735,0.22626931567328917
28,792.0,348.0,138.0,19.0,3991.0,0.42676767676767674,0.19318181818181818,0.14393939393939395,0.2361111111111111
29,446.0,407.0,164.0,21.0,4361.0,0.4349775784753363,0.14798206278026907,0.11434977578475336,0.30269058295964124
30,1035.0,439.0,188.0,20.0,4646.0,0.4821256038647343,0.18937198067632852,0.12270531400966184,0.20579710144927535
31,808.0,496.0,230.0,27.0,4970.0,0.4245049504950495,0.1608910891089109,0.12995049504950495,0.28465346534653463
